"Compass.TooltipTitle","Brújula"
"Compass.TooltipDescription","Clic para abrir las opciones"
"Compass.TitleBarLabel","Ajustes de Compass"
"Compass.CardinalDirectionModeLabel","Modo de Dirección Cardinal"
"Compass.OnLabel","Activado"
"Compass.OffLabel","Desactivado"
"Compass.SetLabel","Establecer"
"Compass.ResetLabel","Restablecer"
"Compass.RelativeNorthLabel","Norte Relativo"
"Compass.HeadingLabel","Rumbo"
"Compass.ResetToRelativeNorthLabel","Restablecer al Norte Relativo"
"Compass.ResetToNorthLabel","Restablecer al Norte"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","Restablecer Todos los Ajustes"
"Options.OPTION_DESCRIPTION:ResetModSettings","Restablecer Ajustes del Mod a Valores por Defecto"
"Options.WARNING:ResetModSettings","¿Seguro que desea restablecer todos los ajustes del mod?"
"Options.BINDING:SetToNorthKeybindBinding","Restablecer al norte"
"Options.OPTION:SetToNorthKeybind","Restablecer al norte"
"Options.BINDING:SetNorthDirectionKeybindBinding","Establecer norte relativo"
"Options.OPTION:SetNorthDirectionKeybind","Establecer norte relativo"
"Options.BINDING:ResetNorthDirectionKeybindBinding","Restablecer norte relativo"
"Options.OPTION:ResetNorthDirectionKeybind","Restablecer norte relativo"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","Atajo de teclado para restablecer al norte"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","Atajo de teclado para establecer norte relativo"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","Atajo de teclado para restablecer norte relativo"
