"Compass.TooltipTitle","Compass"
"Compass.TooltipDescription","點擊以開啟選項"
"Compass.TitleBarLabel","Compass 設定"
"Compass.CardinalDirectionModeLabel","羅盤方位模式"
"Compass.OnLabel","開"
"Compass.OffLabel","關"
"Compass.SetLabel","設定"
"Compass.ResetLabel","重設"
"Compass.RelativeNorthLabel","相對北方"
"Compass.HeadingLabel","指向"
"Compass.ResetToRelativeNorthLabel","重設至相對北方"
"Compass.ResetToNorthLabel","重設至北方"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","重設所有設定"
"Options.OPTION_DESCRIPTION:ResetModSettings","重設模組設定為預設值"
"Options.WARNING:ResetModSettings","您確定要重設此模組的所有設定嗎?"
"Options.BINDING:SetToNorthKeybindBinding","重設至北方"
"Options.OPTION:SetToNorthKeybind","重設至北方"
"Options.BINDING:SetNorthDirectionKeybindBinding","設定相對北方"
"Options.OPTION:SetNorthDirectionKeybind","設定相對北方"
"Options.BINDING:ResetNorthDirectionKeybindBinding","重設相對北方"
"Options.OPTION:ResetNorthDirectionKeybind","重設相對北方"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","重設至北方的鍵盤快速鍵"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","設定相對北方的鍵盤快速鍵"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","重設相對北方的鍵盤快速鍵"
