"Compass.TooltipTitle","Compass"
"Compass.TooltipDescription","Click to open options"
"Compass.TitleBarLabel","Compass Settings"
"Compass.CardinalDirectionModeLabel","Cardinal Direction Mode"
"Compass.OnLabel","On"
"Compass.OffLabel","Off"
"Compass.SetLabel","Set"
"Compass.RelativeNorthLabel","Relative North"
"Compass.HeadingLabel","Heading"
"Compass.ResetToRelativeNorthLabel","Reset to Relative North"
"Compass.ResetToNorthLabel","Reset to North"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","Reset All Settings"
"Options.OPTION_DESCRIPTION:ResetModSettings","Reset Mod Settings to Default Values"
"Options.WARNING:ResetModSettings","Are you sure you want to reset all mod settings?"
