"Compass.TooltipTitle","Kompass"
"Compass.TooltipDescription","Klicken, um Optionen zu öffnen"
"Compass.TitleBarLabel","Kompass-Einstellungen"
"Compass.CardinalDirectionModeLabel","Kardinalrichtungsmodus"
"Compass.OnLabel","Aktiviert"
"Compass.OffLabel","Deaktiviert"
"Compass.SetLabel","Festlegen"
"Compass.ResetLabel","Zurücksetzen"
"Compass.RelativeNorthLabel","Relativer Norden"
"Compass.HeadingLabel","Ausrichtung"
"Compass.ResetToRelativeNorthLabel","Auf relativen Norden zurücksetzen"
"Compass.ResetToNorthLabel","Auf Norden zurücksetzen"
"Options.SECTION:[cgameworld.Compass]","Kompass"
"Options.OPTION:ResetModSettings","Alle Einstellungen zurücksetzen"
"Options.OPTION_DESCRIPTION:ResetModSettings","Mod Einstellungen auf Standardwerte zurücksetzen"
"Options.WARNING:ResetModSettings","Bist du sicher, dass du alle Mod-Einstellungen zurücksetzen möchtest?"
"Options.BINDING:SetToNorthKeybindBinding","Auf Norden zurücksetzen"
"Options.OPTION:SetToNorthKeybind","Auf Norden zurücksetzen"
"Options.BINDING:SetNorthDirectionKeybindBinding","Auf relativen Norden zurücksetzen"
"Options.OPTION:SetNorthDirectionKeybind","Auf relativen Norden zurücksetzen"
"Options.BINDING:ResetNorthDirectionKeybindBinding","Relativen Norden zurücksetzen"
"Options.OPTION:ResetNorthDirectionKeybind","Relativen Norden zurücksetzen"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","Tastaturkürzel zum Zurücksetzen nach Norden"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","Tastaturkürzel zum Setzen des relativen Nordens"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","Tastaturkürzel zum Zurücksetzen des relativen Nordens"
