"Compass.TooltipTitle","Kompass"
"Compass.TooltipDescription","Klicken, um Optionen zu öffnen"
"Compass.TitleBarLabel","Kompass-Einstellungen"
"Compass.CardinalDirectionModeLabel","Kardinalrichtungsmodus"
"Compass.OnLabel","An"
"Compass.OffLabel","Aus"
"Compass.SetLabel","Festlegen"
"Compass.ResetLabel","Zurücksetzen"
"Compass.RelativeNorthLabel","Relativer Norden"
"Compass.HeadingLabel","Ausrichtung"
"Compass.ResetToRelativeNorthLabel","Relativen Norden zurücksetzen"
"Compass.ResetToNorthLabel","Auf Norden zurücksetzen"
"Options.SECTION:[cgameworld.Compass]","Kompass"
"Options.OPTION:ResetModSettings","Alle Einstellungen zurücksetzen"
"Options.OPTION_DESCRIPTION:ResetModSettings","Mod Einstellungen auf Standardwerte zurücksetzen"
"Options.WARNING:ResetModSettings","Bist du sicher, dass du alle Mod-Einstellungen zurücksetzen möchtest?"
